KEY	SEVERITY	TYPE	COMPONENT	LINE	MESSAGE
AZnEfuEM1rqGQIjEbc_I	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:electron.vite.config.ts	3	Remove this unused import of 'loadEnv'.
AZnEfuDg1rqGQIjEbc-0	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	3	Unexpected var, use let or const instead.
AZnEfuDg1rqGQIjEbc-1	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	5	Unexpected var, use let or const instead.
AZnEfuDg1rqGQIjEbc-2	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	6	Unexpected var, use let or const instead.
AZnEfuDg1rqGQIjEbc-3	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	52	Prefer using an optional chain expression instead, as it's more concise and easier to read.
AZnEfuDg1rqGQIjEbc-4	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	55	Prefer using an optional chain expression instead, as it's more concise and easier to read.
AZnEfuDg1rqGQIjEbc-5	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	57	Prefer using an optional chain expression instead, as it's more concise and easier to read.
AZnEfuDg1rqGQIjEbc-6	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	59	Prefer using an optional chain expression instead, as it's more concise and easier to read.
AZnEfuDg1rqGQIjEbc-7	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	61	Prefer using an optional chain expression instead, as it's more concise and easier to read.
AZnEfuDg1rqGQIjEbc-8	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	63	Prefer using an optional chain expression instead, as it's more concise and easier to read.
AZnEfuDg1rqGQIjEbc-9	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	66	Prefer using an optional chain expression instead, as it's more concise and easier to read.
AZnEfuDg1rqGQIjEbc--	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	67	Prefer using an optional chain expression instead, as it's more concise and easier to read.
AZnEfuDg1rqGQIjEbc-_	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	69	Prefer using an optional chain expression instead, as it's more concise and easier to read.
AZnEfuDg1rqGQIjEbc_A	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	73	Prefer using an optional chain expression instead, as it's more concise and easier to read.
AZnEfuDg1rqGQIjEbc_B	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	75	Prefer using an optional chain expression instead, as it's more concise and easier to read.
AZnEfuDg1rqGQIjEbc_C	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	79	Prefer using an optional chain expression instead, as it's more concise and easier to read.
AZnEfuDg1rqGQIjEbc_D	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	81	Prefer using an optional chain expression instead, as it's more concise and easier to read.
AZnEfuDg1rqGQIjEbc_E	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	83	Prefer using an optional chain expression instead, as it's more concise and easier to read.
AZnEfuDg1rqGQIjEbc_F	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	905	Unexpected var, use let or const instead.
AZnEfuDg1rqGQIjEbc_G	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	905	Exporting mutable 'var' binding, use 'const' instead.
AZnEfuDg1rqGQIjEbc_H	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	907	Prefer using the default export over named export.
AZnEfuBg1rqGQIjEbc-a	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/default-config.js	3	Unexpected var, use let or const instead.
AZnEfuBg1rqGQIjEbc-b	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/default-config.js	5	Unexpected var, use let or const instead.
AZnEfuBg1rqGQIjEbc-c	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/default-config.js	6	Unexpected var, use let or const instead.
AZnEfuBg1rqGQIjEbc-d	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/default-config.js	227	Unexpected var, use let or const instead.
AZnEfuBg1rqGQIjEbc-e	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/default-config.js	227	Exporting mutable 'var' binding, use 'const' instead.
AZnEfuBg1rqGQIjEbc-f	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/default-config.js	229	Prefer using the default export over named export.
AZnEfuAn1rqGQIjEbc-K	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/filesystem.js	3	Unexpected var, use let or const instead.
AZnEfuAn1rqGQIjEbc-L	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/filesystem.js	5	Unexpected var, use let or const instead.
AZnEfuAn1rqGQIjEbc-M	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/filesystem.js	6	Unexpected var, use let or const instead.
AZnEfuAn1rqGQIjEbc-N	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/filesystem.js	449	Prefer `String#replaceAll()` over `String#replace()`.
AZnEfuAn1rqGQIjEbc-O	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/filesystem.js	537	Prefer `String#replaceAll()` over `String#replace()`.
AZnEfuAn1rqGQIjEbc-P	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/filesystem.js	839	Unexpected var, use let or const instead.
AZnEfuAn1rqGQIjEbc-Q	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/filesystem.js	839	Exporting mutable 'var' binding, use 'const' instead.
AZnEfuAn1rqGQIjEbc-R	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/filesystem.js	841	Prefer using the default export over named export.
AZnEfuDL1rqGQIjEbc-u	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/i18n.js	3	Unexpected var, use let or const instead.
AZnEfuDL1rqGQIjEbc-v	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/i18n.js	5	Unexpected var, use let or const instead.
AZnEfuDL1rqGQIjEbc-w	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/i18n.js	6	Unexpected var, use let or const instead.
AZnEfuDL1rqGQIjEbc-x	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/i18n.js	534	Unexpected var, use let or const instead.
AZnEfuDL1rqGQIjEbc-y	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/i18n.js	534	Exporting mutable 'var' binding, use 'const' instead.
AZnEfuDL1rqGQIjEbc-z	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/i18n.js	536	Prefer using the default export over named export.
AZnEfuBQ1rqGQIjEbc-U	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/sandbox-manager.js	3	Unexpected var, use let or const instead.
AZnEfuBQ1rqGQIjEbc-V	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/sandbox-manager.js	5	Unexpected var, use let or const instead.
AZnEfuBQ1rqGQIjEbc-W	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/sandbox-manager.js	6	Unexpected var, use let or const instead.
AZnEfuBQ1rqGQIjEbc-X	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/sandbox-manager.js	363	Unexpected var, use let or const instead.
AZnEfuBQ1rqGQIjEbc-Y	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/sandbox-manager.js	363	Exporting mutable 'var' binding, use 'const' instead.
AZnEfuBQ1rqGQIjEbc-Z	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/sandbox-manager.js	365	Prefer using the default export over named export.
AZnEfuB11rqGQIjEbc-g	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/security-manager.js	3	Unexpected var, use let or const instead.
AZnEfuB11rqGQIjEbc-h	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/security-manager.js	5	Unexpected var, use let or const instead.
AZnEfuB11rqGQIjEbc-i	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/security-manager.js	6	Unexpected var, use let or const instead.
AZnEfuB11rqGQIjEbc-j	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/security-manager.js	316	Unexpected var, use let or const instead.
